"Occupation","Gender","TaxBracket","variable","value","unit"
"6214 Pharmacy Sales Assistants","Female","a. $18,200 or less","Net rent - loss",258,"number"
"6214 Pharmacy Sales Assistants","Female","b. $18,201 to $37,000","Net rent - loss",691,"number"
"6214 Pharmacy Sales Assistants","Female","c. $37,001 to $80,000","Net rent - loss",540,"number"
"6214 Pharmacy Sales Assistants","Female","d. $80,001 to $180,000","Net rent - loss",70,"number"
"6214 Pharmacy Sales Assistants","Female","e. $180,000 or more","Net rent - loss",9,"number"
"6214 Pharmacy Sales Assistants","Male","a. $18,200 or less","Net rent - loss",10,"number"
"6214 Pharmacy Sales Assistants","Male","b. $18,201 to $37,000","Net rent - loss",36,"number"
"6214 Pharmacy Sales Assistants","Male","c. $37,001 to $80,000","Net rent - loss",46,"number"
"6214 Pharmacy Sales Assistants","Male","d. $80,001 to $180,000","Net rent - loss",13,"number"
"6214 Pharmacy Sales Assistants","Male","e. $180,000 or more","Net rent - loss",3,"number"
"6215 Retail Supervisors","Female","a. $18,200 or less","Net rent - loss",59,"number"
"6215 Retail Supervisors","Female","b. $18,201 to $37,000","Net rent - loss",203,"number"
"6215 Retail Supervisors","Female","c. $37,001 to $80,000","Net rent - loss",427,"number"
"6215 Retail Supervisors","Female","d. $80,001 to $180,000","Net rent - loss",68,"number"
"6215 Retail Supervisors","Female","e. $180,000 or more","Net rent - loss",12,"number"
"6215 Retail Supervisors","Male","a. $18,200 or less","Net rent - loss",30,"number"
"6215 Retail Supervisors","Male","b. $18,201 to $37,000","Net rent - loss",82,"number"
"6215 Retail Supervisors","Male","c. $37,001 to $80,000","Net rent - loss",585,"number"
"6215 Retail Supervisors","Male","d. $80,001 to $180,000","Net rent - loss",287,"number"
"6215 Retail Supervisors","Male","e. $180,000 or more","Net rent - loss",40,"number"
"6216 Service Station Attendants","Female","All","Net rent - loss",112,"number"
"6216 Service Station Attendants","Male","All","Net rent - loss",93,"number"
"6217 Street Vendors and Related Salespersons","Female","All","Net rent - loss",21,"number"
"6217 Street Vendors and Related Salespersons","Male","All","Net rent - loss",40,"number"
"6219 Other Sales Assistants and Salespersons","Female","a. $18,200 or less","Net rent - loss",400,"number"
"6219 Other Sales Assistants and Salespersons","Female","b. $18,201 to $37,000","Net rent - loss",663,"number"
"6219 Other Sales Assistants and Salespersons","Female","c. $37,001 to $80,000","Net rent - loss",594,"number"
"6219 Other Sales Assistants and Salespersons","Female","d. $80,001 to $180,000","Net rent - loss",103,"number"
"6219 Other Sales Assistants and Salespersons","Female","e. $180,000 or more","Net rent - loss",14,"number"
"6219 Other Sales Assistants and Salespersons","Male","a. $18,200 or less","Net rent - loss",60,"number"
"6219 Other Sales Assistants and Salespersons","Male","b. $18,201 to $37,000","Net rent - loss",170,"number"
"6219 Other Sales Assistants and Salespersons","Male","c. $37,001 to $80,000","Net rent - loss",475,"number"
"6219 Other Sales Assistants and Salespersons","Male","d. $80,001 to $180,000","Net rent - loss",110,"number"
"6219 Other Sales Assistants and Salespersons","Male","e. $180,000 or more","Net rent - loss",22,"number"
"6311 Checkout Operators and Office Cashiers","Female","a. $18,200 or less","Net rent - loss",570,"number"
"6311 Checkout Operators and Office Cashiers","Female","b. $18,201 to $37,000","Net rent - loss",1029,"number"
"6311 Checkout Operators and Office Cashiers","Female","c. $37,001 to $80,000","Net rent - loss",698,"number"
"6311 Checkout Operators and Office Cashiers","Female","d. $80,001 to $180,000","Net rent - loss",47,"number"
"6311 Checkout Operators and Office Cashiers","Female","e. $180,000 or more","Net rent - loss",5,"number"
"6311 Checkout Operators and Office Cashiers","Male","a. $18,200 or less","Net rent - loss",51,"number"
"6311 Checkout Operators and Office Cashiers","Male","b. $18,201 to $37,000","Net rent - loss",147,"number"
"6311 Checkout Operators and Office Cashiers","Male","c. $37,001 to $80,000","Net rent - loss",271,"number"
"6311 Checkout Operators and Office Cashiers","Male","d. $80,001 to $180,000","Net rent - loss",35,"number"
"6311 Checkout Operators and Office Cashiers","Male","e. $180,000 or more","Net rent - loss",3,"number"
"6391 Models and Sales Demonstrators","Female","a. $18,200 or less","Net rent - loss",247,"number"
"6391 Models and Sales Demonstrators","Female","b. $18,201 to $37,000","Net rent - loss",343,"number"
"6391 Models and Sales Demonstrators","Female","c. $37,001 to $80,000","Net rent - loss",337,"number"
"6391 Models and Sales Demonstrators","Female","d. $80,001 to $180,000","Net rent - loss",74,"number"
"6391 Models and Sales Demonstrators","Female","e. $180,000 or more","Net rent - loss",16,"number"
"6391 Models and Sales Demonstrators","Male","a. $18,200 or less","Net rent - loss",17,"number"
"6391 Models and Sales Demonstrators","Male","b. $18,201 to $37,000","Net rent - loss",36,"number"
"6391 Models and Sales Demonstrators","Male","c. $37,001 to $80,000","Net rent - loss",133,"number"
"6391 Models and Sales Demonstrators","Male","d. $80,001 to $180,000","Net rent - loss",76,"number"
"6391 Models and Sales Demonstrators","Male","e. $180,000 or more","Net rent - loss",13,"number"
"6392 Retail and Wool Buyers","Female","a. $18,200 or less","Net rent - loss",18,"number"
"6392 Retail and Wool Buyers","Female","b. $18,201 to $37,000","Net rent - loss",40,"number"
"6392 Retail and Wool Buyers","Female","c. $37,001 to $80,000","Net rent - loss",146,"number"
"6392 Retail and Wool Buyers","Female","d. $80,001 to $180,000","Net rent - loss",118,"number"
"6392 Retail and Wool Buyers","Female","e. $180,000 or more","Net rent - loss",24,"number"
"6392 Retail and Wool Buyers","Male","a. $18,200 or less","Net rent - loss",1,"number"
"6392 Retail and Wool Buyers","Male","b. $18,201 to $37,000","Net rent - loss",8,"number"
"6392 Retail and Wool Buyers","Male","c. $37,001 to $80,000","Net rent - loss",79,"number"
"6392 Retail and Wool Buyers","Male","d. $80,001 to $180,000","Net rent - loss",124,"number"
"6392 Retail and Wool Buyers","Male","e. $180,000 or more","Net rent - loss",30,"number"
"6393 Telemarketers","Female","All","Net rent - loss",131,"number"
"6393 Telemarketers","Male","All","Net rent - loss",44,"number"
"6394 Ticket Salespersons","Female","All","Net rent - loss",466,"number"
"6394 Ticket Salespersons","Male","All","Net rent - loss",286,"number"
"6395 Visual Merchandisers","Female","All","Net rent - loss",4,"number"
"6395 Visual Merchandisers","Male","All","Net rent - loss",6,"number"
"7100 Machine and Stationary Plant Operators - type not specified","Female","a. $18,200 or less","Net rent - loss",0,"number"
"7100 Machine and Stationary Plant Operators - type not specified","Female","b. $18,201 to $37,000","Net rent - loss",2,"number"
"7100 Machine and Stationary Plant Operators - type not specified","Female","c. $37,001 to $80,000","Net rent - loss",0,"number"
"7100 Machine and Stationary Plant Operators - type not specified","Female","d. $80,001 to $180,000","Net rent - loss",0,"number"
"7100 Machine and Stationary Plant Operators - type not specified","Male","All","Net rent - loss",18,"number"
"7111 Clay, Concrete, Glass and Stone Processing Machine Operators","Female","All","Net rent - loss",61,"number"
"7111 Clay, Concrete, Glass and Stone Processing Machine Operators","Male","a. $18,200 or less","Net rent - loss",9,"number"
"7111 Clay, Concrete, Glass and Stone Processing Machine Operators","Male","b. $18,201 to $37,000","Net rent - loss",36,"number"
"7111 Clay, Concrete, Glass and Stone Processing Machine Operators","Male","c. $37,001 to $80,000","Net rent - loss",190,"number"
"7111 Clay, Concrete, Glass and Stone Processing Machine Operators","Male","d. $80,001 to $180,000","Net rent - loss",186,"number"
"7111 Clay, Concrete, Glass and Stone Processing Machine Operators","Male","e. $180,000 or more","Net rent - loss",3,"number"
"7112 Industrial Spraypainters","Female","All","Net rent - loss",4,"number"
"7112 Industrial Spraypainters","Male","a. $18,200 or less","Net rent - loss",6,"number"
"7112 Industrial Spraypainters","Male","b. $18,201 to $37,000","Net rent - loss",19,"number"
"7112 Industrial Spraypainters","Male","c. $37,001 to $80,000","Net rent - loss",177,"number"
"7112 Industrial Spraypainters","Male","d. $80,001 to $180,000","Net rent - loss",141,"number"
"7112 Industrial Spraypainters","Male","e. $180,000 or more","Net rent - loss",41,"number"
"7113 Paper and Wood Processing Machine Operators","Female","All","Net rent - loss",52,"number"
"7113 Paper and Wood Processing Machine Operators","Male","All","Net rent - loss",479,"number"
"7114 Photographic Developers and Printers","Female","All","Net rent - loss",28,"number"
"7114 Photographic Developers and Printers","Male","All","Net rent - loss",82,"number"
"7115 Plastics and Rubber Production Machine Operators","Female","a. $18,200 or less","Net rent - loss",2,"number"
"7115 Plastics and Rubber Production Machine Operators","Female","b. $18,201 to $37,000","Net rent - loss",11,"number"
"7115 Plastics and Rubber Production Machine Operators","Female","c. $37,001 to $80,000","Net rent - loss",28,"number"
"7115 Plastics and Rubber Production Machine Operators","Female","d. $80,001 to $180,000","Net rent - loss",2,"number"
"7115 Plastics and Rubber Production Machine Operators","Male","a. $18,200 or less","Net rent - loss",11,"number"
"7115 Plastics and Rubber Production Machine Operators","Male","b. $18,201 to $37,000","Net rent - loss",35,"number"
"7115 Plastics and Rubber Production Machine Operators","Male","c. $37,001 to $80,000","Net rent - loss",197,"number"
"7115 Plastics and Rubber Production Machine Operators","Male","d. $80,001 to $180,000","Net rent - loss",93,"number"
"7115 Plastics and Rubber Production Machine Operators","Male","e. $180,000 or more","Net rent - loss",10,"number"
"7116 Sewing Machinists","Female","All","Net rent - loss",358,"number"
"7116 Sewing Machinists","Male","All","Net rent - loss",38,"number"
"7117 Textile and Footwear Production Machine Operators","Female","All","Net rent - loss",37,"number"
"7117 Textile and Footwear Production Machine Operators","Male","All","Net rent - loss",42,"number"
"7119 Other Machine Operators","Female","All","Net rent - loss",507,"number"
"7119 Other Machine Operators","Male","a. $18,200 or less","Net rent - loss",82,"number"
"7119 Other Machine Operators","Male","b. $18,201 to $37,000","Net rent - loss",195,"number"
"7119 Other Machine Operators","Male","c. $37,001 to $80,000","Net rent - loss",1301,"number"
"7119 Other Machine Operators","Male","d. $80,001 to $180,000","Net rent - loss",1151,"number"
"7119 Other Machine Operators","Male","e. $180,000 or more","Net rent - loss",78,"number"
"7121 Crane, Hoist and Lift Operators","Female","All","Net rent - loss",18,"number"
"7121 Crane, Hoist and Lift Operators","Male","a. $18,200 or less","Net rent - loss",36,"number"
"7121 Crane, Hoist and Lift Operators","Male","b. $18,201 to $37,000","Net rent - loss",55,"number"
"7121 Crane, Hoist and Lift Operators","Male","c. $37,001 to $80,000","Net rent - loss",353,"number"
"7121 Crane, Hoist and Lift Operators","Male","d. $80,001 to $180,000","Net rent - loss",861,"number"
"7121 Crane, Hoist and Lift Operators","Male","e. $180,000 or more","Net rent - loss",175,"number"
"7122 Drillers, Miners and Shot Firers","Female","All","Net rent - loss",518,"number"
"7122 Drillers, Miners and Shot Firers","Male","a. $18,200 or less","Net rent - loss",131,"number"
"7122 Drillers, Miners and Shot Firers","Male","b. $18,201 to $37,000","Net rent - loss",212,"number"
"7122 Drillers, Miners and Shot Firers","Male","c. $37,001 to $80,000","Net rent - loss",1088,"number"
"7122 Drillers, Miners and Shot Firers","Male","d. $80,001 to $180,000","Net rent - loss",5946,"number"
"7122 Drillers, Miners and Shot Firers","Male","e. $180,000 or more","Net rent - loss",887,"number"
"7123 Engineering Production Systems Workers","Female","All","Net rent - loss",16,"number"
"7123 Engineering Production Systems Workers","Male","a. $18,200 or less","Net rent - loss",5,"number"
"7123 Engineering Production Systems Workers","Male","b. $18,201 to $37,000","Net rent - loss",7,"number"
"7123 Engineering Production Systems Workers","Male","c. $37,001 to $80,000","Net rent - loss",93,"number"
"7123 Engineering Production Systems Workers","Male","d. $80,001 to $180,000","Net rent - loss",93,"number"
"7123 Engineering Production Systems Workers","Male","e. $180,000 or more","Net rent - loss",9,"number"
"7129 Other Stationary Plant Operators","Female","All","Net rent - loss",178,"number"
"7129 Other Stationary Plant Operators","Male","a. $18,200 or less","Net rent - loss",32,"number"
"7129 Other Stationary Plant Operators","Male","b. $18,201 to $37,000","Net rent - loss",57,"number"
"7129 Other Stationary Plant Operators","Male","c. $37,001 to $80,000","Net rent - loss",569,"number"
"7129 Other Stationary Plant Operators","Male","d. $80,001 to $180,000","Net rent - loss",1060,"number"
"7129 Other Stationary Plant Operators","Male","e. $180,000 or more","Net rent - loss",80,"number"
"7210 Mobile Plant Operators","Female","All","Net rent - loss",0,"number"
"7210 Mobile Plant Operators","Male","All","Net rent - loss",9,"number"
"7211 Agricultural, Forestry and Horticultural Plant Operators","Female","All","Net rent - loss",31,"number"
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","a. $18,200 or less","Net rent - loss",31,"number"
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","b. $18,201 to $37,000","Net rent - loss",81,"number"
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","c. $37,001 to $80,000","Net rent - loss",226,"number"
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","d. $80,001 to $180,000","Net rent - loss",77,"number"
"7211 Agricultural, Forestry and Horticultural Plant Operators","Male","e. $180,000 or more","Net rent - loss",11,"number"
"7212 Earthmoving Plant Operators","Female","a. $18,200 or less","Net rent - loss",35,"number"
"7212 Earthmoving Plant Operators","Female","b. $18,201 to $37,000","Net rent - loss",23,"number"
"7212 Earthmoving Plant Operators","Female","c. $37,001 to $80,000","Net rent - loss",97,"number"
"7212 Earthmoving Plant Operators","Female","d. $80,001 to $180,000","Net rent - loss",213,"number"
"7212 Earthmoving Plant Operators","Female","e. $180,000 or more","Net rent - loss",6,"number"
"7212 Earthmoving Plant Operators","Male","a. $18,200 or less","Net rent - loss",122,"number"
"7212 Earthmoving Plant Operators","Male","b. $18,201 to $37,000","Net rent - loss",257,"number"
"7212 Earthmoving Plant Operators","Male","c. $37,001 to $80,000","Net rent - loss",1645,"number"
"7212 Earthmoving Plant Operators","Male","d. $80,001 to $180,000","Net rent - loss",2285,"number"
"7212 Earthmoving Plant Operators","Male","e. $180,000 or more","Net rent - loss",123,"number"
"7213 Forklift Drivers","Female","All","Net rent - loss",77,"number"
"7213 Forklift Drivers","Male","a. $18,200 or less","Net rent - loss",43,"number"
"7213 Forklift Drivers","Male","b. $18,201 to $37,000","Net rent - loss",184,"number"
"7213 Forklift Drivers","Male","c. $37,001 to $80,000","Net rent - loss",1011,"number"
"7213 Forklift Drivers","Male","d. $80,001 to $180,000","Net rent - loss",304,"number"
"7213 Forklift Drivers","Male","e. $180,000 or more","Net rent - loss",12,"number"
"7219 Other Mobile Plant Operators","Female","All","Net rent - loss",122,"number"
"7219 Other Mobile Plant Operators","Male","a. $18,200 or less","Net rent - loss",18,"number"
"7219 Other Mobile Plant Operators","Male","b. $18,201 to $37,000","Net rent - loss",54,"number"
"7219 Other Mobile Plant Operators","Male","c. $37,001 to $80,000","Net rent - loss",451,"number"
"7219 Other Mobile Plant Operators","Male","d. $80,001 to $180,000","Net rent - loss",248,"number"
"7219 Other Mobile Plant Operators","Male","e. $180,000 or more","Net rent - loss",7,"number"
"7300 Road and rail drivers - type not specified","Female","All","Net rent - loss",1,"number"
"7300 Road and rail drivers - type not specified","Male","All","Net rent - loss",6,"number"
"7311 Automobile Drivers","Female","All","Net rent - loss",24,"number"
"7311 Automobile Drivers","Male","All","Net rent - loss",171,"number"
"7312 Bus and Coach Drivers","Female","a. $18,200 or less","Net rent - loss",57,"number"
"7312 Bus and Coach Drivers","Female","b. $18,201 to $37,000","Net rent - loss",112,"number"
"7312 Bus and Coach Drivers","Female","c. $37,001 to $80,000","Net rent - loss",205,"number"
"7312 Bus and Coach Drivers","Female","d. $80,001 to $180,000","Net rent - loss",30,"number"
"7312 Bus and Coach Drivers","Female","e. $180,000 or more","Net rent - loss",1,"number"
"7312 Bus and Coach Drivers","Male","a. $18,200 or less","Net rent - loss",208,"number"
"7312 Bus and Coach Drivers","Male","b. $18,201 to $37,000","Net rent - loss",535,"number"
"7312 Bus and Coach Drivers","Male","c. $37,001 to $80,000","Net rent - loss",2153,"number"
"7312 Bus and Coach Drivers","Male","d. $80,001 to $180,000","Net rent - loss",387,"number"
"7312 Bus and Coach Drivers","Male","e. $180,000 or more","Net rent - loss",21,"number"
"7313 Train and Tram Drivers","Female","All","Net rent - loss",207,"number"
"7313 Train and Tram Drivers","Male","a. $18,200 or less","Net rent - loss",8,"number"
"7313 Train and Tram Drivers","Male","b. $18,201 to $37,000","Net rent - loss",29,"number"
"7313 Train and Tram Drivers","Male","c. $37,001 to $80,000","Net rent - loss",330,"number"
"7313 Train and Tram Drivers","Male","d. $80,001 to $180,000","Net rent - loss",1650,"number"
"7313 Train and Tram Drivers","Male","e. $180,000 or more","Net rent - loss",165,"number"
"7321 Delivery Drivers","Female","All","Net rent - loss",170,"number"
"7321 Delivery Drivers","Male","a. $18,200 or less","Net rent - loss",157,"number"
"7321 Delivery Drivers","Male","b. $18,201 to $37,000","Net rent - loss",361,"number"
"7321 Delivery Drivers","Male","c. $37,001 to $80,000","Net rent - loss",872,"number"
"7321 Delivery Drivers","Male","d. $80,001 to $180,000","Net rent - loss",141,"number"
"7321 Delivery Drivers","Male","e. $180,000 or more","Net rent - loss",2,"number"
"7331 Truck Drivers","Female","All","Net rent - loss",579,"number"
"7331 Truck Drivers","Male","a. $18,200 or less","Net rent - loss",471,"number"
"7331 Truck Drivers","Male","b. $18,201 to $37,000","Net rent - loss",1047,"number"
"7331 Truck Drivers","Male","c. $37,001 to $80,000","Net rent - loss",6251,"number"
"7331 Truck Drivers","Male","d. $80,001 to $180,000","Net rent - loss",3779,"number"
"7331 Truck Drivers","Male","e. $180,000 or more","Net rent - loss",101,"number"
"7411 Storepersons","Female","a. $18,200 or less","Net rent - loss",142,"number"
"7411 Storepersons","Female","b. $18,201 to $37,000","Net rent - loss",303,"number"
"7411 Storepersons","Female","c. $37,001 to $80,000","Net rent - loss",666,"number"
"7411 Storepersons","Female","d. $80,001 to $180,000","Net rent - loss",94,"number"
"7411 Storepersons","Female","e. $180,000 or more","Net rent - loss",6,"number"
"7411 Storepersons","Male","a. $18,200 or less","Net rent - loss",242,"number"
"7411 Storepersons","Male","b. $18,201 to $37,000","Net rent - loss",780,"number"
"7411 Storepersons","Male","c. $37,001 to $80,000","Net rent - loss",3538,"number"
"7411 Storepersons","Male","d. $80,001 to $180,000","Net rent - loss",739,"number"
"7411 Storepersons","Male","e. $180,000 or more","Net rent - loss",58,"number"
"8110 Cleaners and Laundry Workers - type not specified","Female","All","Net rent - loss",10,"number"
"8110 Cleaners and Laundry Workers - type not specified","Male","All","Net rent - loss",10,"number"
"8111 Car Detailers","Female","All","Net rent - loss",40,"number"
"8111 Car Detailers","Male","All","Net rent - loss",230,"number"
"8112 Commercial Cleaners","Female","a. $18,200 or less","Net rent - loss",565,"number"
"8112 Commercial Cleaners","Female","b. $18,201 to $37,000","Net rent - loss",972,"number"
"8112 Commercial Cleaners","Female","c. $37,001 to $80,000","Net rent - loss",851,"number"
"8112 Commercial Cleaners","Female","d. $80,001 to $180,000","Net rent - loss",109,"number"
"8112 Commercial Cleaners","Female","e. $180,000 or more","Net rent - loss",13,"number"
"8112 Commercial Cleaners","Male","a. $18,200 or less","Net rent - loss",122,"number"
"8112 Commercial Cleaners","Male","b. $18,201 to $37,000","Net rent - loss",338,"number"
"8112 Commercial Cleaners","Male","c. $37,001 to $80,000","Net rent - loss",594,"number"
"8112 Commercial Cleaners","Male","d. $80,001 to $180,000","Net rent - loss",100,"number"
"8112 Commercial Cleaners","Male","e. $180,000 or more","Net rent - loss",6,"number"
"8113 Domestic Cleaners","Female","a. $18,200 or less","Net rent - loss",111,"number"
"8113 Domestic Cleaners","Female","b. $18,201 to $37,000","Net rent - loss",118,"number"
"8113 Domestic Cleaners","Female","c. $37,001 to $80,000","Net rent - loss",85,"number"
"8113 Domestic Cleaners","Female","d. $80,001 to $180,000","Net rent - loss",10,"number"
"8113 Domestic Cleaners","Female","e. $180,000 or more","Net rent - loss",2,"number"
"8113 Domestic Cleaners","Male","All","Net rent - loss",67,"number"
"8114 Housekeepers","Female","a. $18,200 or less","Net rent - loss",152,"number"
"8114 Housekeepers","Female","b. $18,201 to $37,000","Net rent - loss",280,"number"
"8114 Housekeepers","Female","c. $37,001 to $80,000","Net rent - loss",221,"number"
"8114 Housekeepers","Female","d. $80,001 to $180,000","Net rent - loss",25,"number"
"8114 Housekeepers","Female","e. $180,000 or more","Net rent - loss",3,"number"
"8114 Housekeepers","Male","All","Net rent - loss",86,"number"
"8115 Laundry Workers","Female","All","Net rent - loss",371,"number"
"8115 Laundry Workers","Male","All","Net rent - loss",113,"number"
"8116 Other Cleaners","Female","All","Net rent - loss",878,"number"
"8116 Other Cleaners","Male","a. $18,200 or less","Net rent - loss",54,"number"
"8116 Other Cleaners","Male","b. $18,201 to $37,000","Net rent - loss",126,"number"
"8116 Other Cleaners","Male","c. $37,001 to $80,000","Net rent - loss",285,"number"
"8116 Other Cleaners","Male","d. $80,001 to $180,000","Net rent - loss",56,"number"
"8116 Other Cleaners","Male","e. $180,000 or more","Net rent - loss",3,"number"
"8200 Labourer - type not specified","Female","a. $18,200 or less","Net rent - loss",1,"number"
"8200 Labourer - type not specified","Female","b. $18,201 to $37,000","Net rent - loss",0,"number"
"8200 Labourer - type not specified","Female","c. $37,001 to $80,000","Net rent - loss",0,"number"
"8200 Labourer - type not specified","Male","All","Net rent - loss",6,"number"
"8210 Construction and Mining Labourers. Construction worker - type not specified","Female","All","Net rent - loss",0,"number"
"8210 Construction and Mining Labourers. Construction worker - type not specified","Male","All","Net rent - loss",12,"number"
"8211 Building and Plumbing Labourers","Female","All","Net rent - loss",85,"number"
"8211 Building and Plumbing Labourers","Male","a. $18,200 or less","Net rent - loss",192,"number"
"8211 Building and Plumbing Labourers","Male","b. $18,201 to $37,000","Net rent - loss",396,"number"
"8211 Building and Plumbing Labourers","Male","c. $37,001 to $80,000","Net rent - loss",1521,"number"
"8211 Building and Plumbing Labourers","Male","d. $80,001 to $180,000","Net rent - loss",1176,"number"
"8211 Building and Plumbing Labourers","Male","e. $180,000 or more","Net rent - loss",87,"number"
"8212 Concreters","Female","All","Net rent - loss",12,"number"
"8212 Concreters","Male","a. $18,200 or less","Net rent - loss",38,"number"
"8212 Concreters","Male","b. $18,201 to $37,000","Net rent - loss",126,"number"
"8212 Concreters","Male","c. $37,001 to $80,000","Net rent - loss",548,"number"
"8212 Concreters","Male","d. $80,001 to $180,000","Net rent - loss",509,"number"
"8212 Concreters","Male","e. $180,000 or more","Net rent - loss",63,"number"
"8213 Fencers","Female","All","Net rent - loss",3,"number"
"8213 Fencers","Male","All","Net rent - loss",160,"number"
"8214 Insulation and Home Improvement Installers","Female","All","Net rent - loss",11,"number"
"8214 Insulation and Home Improvement Installers","Male","a. $18,200 or less","Net rent - loss",15,"number"
"8214 Insulation and Home Improvement Installers","Male","b. $18,201 to $37,000","Net rent - loss",65,"number"
"8214 Insulation and Home Improvement Installers","Male","c. $37,001 to $80,000","Net rent - loss",218,"number"
"8214 Insulation and Home Improvement Installers","Male","d. $80,001 to $180,000","Net rent - loss",91,"number"
"8214 Insulation and Home Improvement Installers","Male","e. $180,000 or more","Net rent - loss",39,"number"
"8215 Paving and Surfacing Labourers","Female","a. $18,200 or less","Net rent - loss",0,"number"
"8215 Paving and Surfacing Labourers","Female","b. $18,201 to $37,000","Net rent - loss",3,"number"
"8215 Paving and Surfacing Labourers","Female","c. $37,001 to $80,000","Net rent - loss",6,"number"
"8215 Paving and Surfacing Labourers","Female","d. $80,001 to $180,000","Net rent - loss",3,"number"
"8215 Paving and Surfacing Labourers","Male","a. $18,200 or less","Net rent - loss",19,"number"
"8215 Paving and Surfacing Labourers","Male","b. $18,201 to $37,000","Net rent - loss",51,"number"
"8215 Paving and Surfacing Labourers","Male","c. $37,001 to $80,000","Net rent - loss",425,"number"
"8215 Paving and Surfacing Labourers","Male","d. $80,001 to $180,000","Net rent - loss",208,"number"
"8215 Paving and Surfacing Labourers","Male","e. $180,000 or more","Net rent - loss",5,"number"
"8216 Railway Track Workers","Female","All","Net rent - loss",15,"number"
"8216 Railway Track Workers","Male","a. $18,200 or less","Net rent - loss",7,"number"
"8216 Railway Track Workers","Male","b. $18,201 to $37,000","Net rent - loss",15,"number"
"8216 Railway Track Workers","Male","c. $37,001 to $80,000","Net rent - loss",110,"number"
"8216 Railway Track Workers","Male","d. $80,001 to $180,000","Net rent - loss",264,"number"
"8216 Railway Track Workers","Male","e. $180,000 or more","Net rent - loss",12,"number"
"8217 Structural Steel Construction Workers","Female","All","Net rent - loss",16,"number"
"8217 Structural Steel Construction Workers","Male","a. $18,200 or less","Net rent - loss",83,"number"
"8217 Structural Steel Construction Workers","Male","b. $18,201 to $37,000","Net rent - loss",154,"number"
"8217 Structural Steel Construction Workers","Male","c. $37,001 to $80,000","Net rent - loss",743,"number"
"8217 Structural Steel Construction Workers","Male","d. $80,001 to $180,000","Net rent - loss",1807,"number"
"8217 Structural Steel Construction Workers","Male","e. $180,000 or more","Net rent - loss",645,"number"
"8219 Other Construction and Mining Labourers","Female","All","Net rent - loss",143,"number"
"8219 Other Construction and Mining Labourers","Male","a. $18,200 or less","Net rent - loss",47,"number"
"8219 Other Construction and Mining Labourers","Male","b. $18,201 to $37,000","Net rent - loss",78,"number"
"8219 Other Construction and Mining Labourers","Male","c. $37,001 to $80,000","Net rent - loss",384,"number"
"8219 Other Construction and Mining Labourers","Male","d. $80,001 to $180,000","Net rent - loss",1040,"number"
"8219 Other Construction and Mining Labourers","Male","e. $180,000 or more","Net rent - loss",220,"number"
"8300 Factory Process Workers - type not specified","Female","a. $18,200 or less","Net rent - loss",2,"number"
"8300 Factory Process Workers - type not specified","Female","b. $18,201 to $37,000","Net rent - loss",1,"number"
"8300 Factory Process Workers - type not specified","Female","c. $37,001 to $80,000","Net rent - loss",8,"number"
"8300 Factory Process Workers - type not specified","Female","d. $80,001 to $180,000","Net rent - loss",0,"number"
"8300 Factory Process Workers - type not specified","Male","a. $18,200 or less","Net rent - loss",3,"number"
"8300 Factory Process Workers - type not specified","Male","b. $18,201 to $37,000","Net rent - loss",2,"number"
"8300 Factory Process Workers - type not specified","Male","c. $37,001 to $80,000","Net rent - loss",8,"number"
"8300 Factory Process Workers - type not specified","Male","d. $80,001 to $180,000","Net rent - loss",0,"number"
"8310 Food Process Workers - type not specified","Female","a. $18,200 or less","Net rent - loss",0,"number"
"8310 Food Process Workers - type not specified","Female","b. $18,201 to $37,000","Net rent - loss",0,"number"
"8310 Food Process Workers - type not specified","Female","c. $37,001 to $80,000","Net rent - loss",0,"number"
"8310 Food Process Workers - type not specified","Male","All","Net rent - loss",1,"number"
"8311 Food and Drink Factory Workers","Female","a. $18,200 or less","Net rent - loss",76,"number"
"8311 Food and Drink Factory Workers","Female","b. $18,201 to $37,000","Net rent - loss",207,"number"
"8311 Food and Drink Factory Workers","Female","c. $37,001 to $80,000","Net rent - loss",452,"number"
"8311 Food and Drink Factory Workers","Female","d. $80,001 to $180,000","Net rent - loss",79,"number"
"8311 Food and Drink Factory Workers","Female","e. $180,000 or more","Net rent - loss",4,"number"
"8311 Food and Drink Factory Workers","Male","a. $18,200 or less","Net rent - loss",43,"number"
"8311 Food and Drink Factory Workers","Male","b. $18,201 to $37,000","Net rent - loss",126,"number"
"8311 Food and Drink Factory Workers","Male","c. $37,001 to $80,000","Net rent - loss",793,"number"
"8311 Food and Drink Factory Workers","Male","d. $80,001 to $180,000","Net rent - loss",430,"number"
"8311 Food and Drink Factory Workers","Male","e. $180,000 or more","Net rent - loss",9,"number"
"8312 Meat Boners and Slicers, and Slaughterers","Female","a. $18,200 or less","Net rent - loss",6,"number"
"8312 Meat Boners and Slicers, and Slaughterers","Female","b. $18,201 to $37,000","Net rent - loss",21,"number"
"8312 Meat Boners and Slicers, and Slaughterers","Female","c. $37,001 to $80,000","Net rent - loss",52,"number"
"8312 Meat Boners and Slicers, and Slaughterers","Female","d. $80,001 to $180,000","Net rent - loss",3,"number"
